1:8,1,9,8,5,1,6,1,2,7,1,8,7,8,1,3,3,5,6,1,2,9,2,5,4,2,4,5,7,5
2:5,3,4,3,3,1,6,5,7,2,1,1,5,8,1,9,7,3,6,5,6,5,8,3,5,6,7,4,4,1
3:5,7,8,9,9,9,8,1,3,3,1,7,4,5,2,9,8,3,2,5,2,7,7,6,2,7,5,8,5,1
4:1,6,3,7,8,6,4,5,1,7,6,7,8,7,9,5,4,2,5,9,6,1,5,2,2,1,5,1,8,5
5:1,5,3,6,7,2,7,8,9,8,5,1,5,9,2,8,4,4,2,4,8,6,4,8,9,3,8,9,4,6
6:2,4,7,3,1,1,1,9,4,2,5,7,9,9,8,2,8,5,3,6,4,9,8,4,6,9,4,4,1,2
7:4,5,1,6,3,9,3,5,8,5,5,1,5,4,4,4,9,8,6,2,7,5,5,1,2,2,2,6,8,3
8:8,2,4,1,3,3,7,1,2,7,4,9,1,3,1,7,4,5,3,7,3,4,4,8,9,8,5,8,3,3
9:3,7,8,5,6,4,3,6,8,6,4,5,8,1,5,1,5,4,8,8,4,1,3,8,8,9,1,5,2,9
10:8,7,6,8,7,1,5,4,4,2,2,7,3,2,1,3,8,4,3,1,2,7,5,6,6,2,6,6,8,7
11:4,7,6,3,7,2,8,7,1,3,9,7,3,2,2,9,6,6,5,9,3,5,8,3,3,3,1,9,7,7
12:6,1,6,1,5,4,1,3,5,5,4,2,1,4,5,3,2,2,1,6,3,5,7,2,9,6,9,7,3,3
13:3,4,5,5,5,5,4,5,3,4,6,9,9,1,9,9,5,9,4,1,5,8,9,4,3,6,7,2,8,2
14:5,6,2,3,3,5,8,8,7,1,7,5,1,9,3,3,3,2,5,7,5,9,7,3,5,2,7,9,7,1
15:7,5,7,8,9,5,3,2,7,4,4,6,5,4,9,5,5,9,3,2,6,1,9,9,3,9,3,7,3,6
16:1,3,2,6,7,3,5,9,4,4,4,1,9,3,1,9,7,8,9,3,4,2,4,1,1,1,4,4,9,5
17:2,5,7,1,6,7,3,3,3,4,7,2,3,4,4,2,4,4,8,5,1,2,2,2,6,2,6,1,8,5
18:2,3,2,4,6,5,3,1,8,6,9,3,6,4,4,7,5,1,4,8,7,4,5,6,6,1,7,5,3,1
19:7,3,9,1,8,7,8,9,6,4,8,2,3,5,9,7,7,7,8,7,6,1,9,5,1,9,1,8,4,5
20:2,7,6,2,8,8,1,7,1,5,6,2,1,2,4,3,1,7,9,2,3,6,1,3,5,5,6,2,2,3
21:1,9,7,5,9,8,9,4,3,7,4,3,3,4,4,5,2,4,4,5,5,9,3,7,2,7,7,6,7,1
22:6,1,9,1,2,3,6,2,4,2,1,3,2,7,8,9,2,7,7,1,3,4,1,1,5,4,5,6,6,4
23:2,9,3,8,6,5,6,9,6,4,8,4,5,4,8,4,3,8,8,4,7,7,2,2,9,4,4,8,5,3
24:4,9,4,2,1,7,2,9,1,1,5,2,2,8,7,1,9,4,3,9,3,9,1,1,9,7,2,4,5,9
25:9,6,1,6,3,5,8,9,4,2,2,9,6,7,6,2,3,3,7,3,5,3,1,1,1,9,2,2,3,6
26:6,8,1,3,3,5,7,5,5,2,3,1,3,4,4,5,1,8,2,1,4,8,2,9,3,9,5,2,8,5
27:6,3,5,5,5,9,5,5,4,8,2,9,1,2,9,1,7,4,4,2,5,2,6,8,6,8,8,2,8,7
