1:6,7,5,9,8,7,7,6,9,7,8,5,8,8,9,3,2,6,9,2,9,9,8,3,1,9,6,8,8,9
2:7,8,1,1,4,2,3,3,1,4,8,6,8,4,7,2,6,6,5,1,8,7,5,7,7,1,7,8,7,9
3:9,8,7,7,5,8,4,4,6,8,7,3,2,3,2,5,9,3,7,7,3,1,9,2,6,5,2,3,1,4
4:3,7,4,4,3,4,3,2,6,2,5,9,4,3,4,7,4,8,4,1,9,3,7,9,5,1,3,8,1,2
5:3,2,8,8,5,8,9,3,2,7,6,9,6,9,8,5,3,1,9,1,1,3,7,6,7,3,2,8,5,1
6:5,7,6,3,1,5,6,6,9,8,8,6,5,8,6,1,5,8,6,9,7,7,5,7,5,5,9,3,2,3
7:9,2,2,5,6,9,2,4,1,5,8,1,5,6,5,4,1,9,5,4,6,5,2,9,5,8,6,9,6,6
8:5,1,1,7,6,9,6,2,9,3,9,3,8,7,5,5,9,5,2,4,3,4,3,4,8,2,4,2,2,4
9:4,3,8,5,9,6,8,6,9,3,1,7,8,1,8,8,9,7,5,9,5,4,4,5,6,8,7,4,3,8
10:5,1,1,7,6,9,6,2,9,3,9,3,8,7,5,5,9,5,2,4,3,4,3,4,8,2,4,2,2,5
11:3,2,2,5,5,8,8,3,4,6,1,1,4,6,3,8,5,2,7,7,4,8,6,4,4,2,3,8,7,2
12:3,3,7,8,4,8,5,4,2,5,1,8,3,9,1,2,4,4,2,5,9,3,7,4,5,7,6,4,1,9
13:8,9,8,2,5,1,2,4,7,6,1,3,5,1,4,6,6,4,1,2,3,3,9,1,5,3,7,7,5,1
14:9,1,9,5,8,3,7,4,5,9,7,1,1,9,9,1,4,3,6,4,4,5,5,9,4,1,3,8,7,5
15:6,6,4,9,2,4,3,8,7,4,1,1,8,6,5,2,9,1,2,8,9,8,9,8,3,8,3,5,5,3
16:6,2,6,3,5,4,7,5,7,6,1,2,9,5,4,4,2,8,4,1,8,8,1,2,4,5,3,4,3,4
17:3,2,2,3,1,3,2,6,5,7,4,5,2,2,9,1,3,5,2,2,6,2,2,9,1,6,1,5,2,8
18:8,8,8,8,7,3,2,2,4,9,9,6,8,3,4,1,1,9,3,2,3,4,4,4,5,3,4,9,2,1
19:8,4,3,3,9,4,2,6,3,8,9,3,3,8,3,4,8,5,7,4,7,1,5,7,8,9,7,3,2,3
20:1,6,1,5,9,3,6,9,5,2,5,8,8,6,1,2,4,8,9,4,1,9,4,7,2,6,2,1,7,4
21:4,2,4,8,3,9,7,1,4,7,2,4,2,2,4,1,6,7,7,5,4,7,2,9,1,1,3,8,9,2
22:2,4,8,8,2,8,7,9,6,3,2,7,9,5,1,2,6,4,2,6,7,8,4,3,2,3,1,1,2,3
23:1,8,4,4,4,5,1,7,6,4,3,6,5,7,6,9,6,4,2,4,1,8,1,4,2,2,1,2,3,9
24:4,2,1,5,2,1,7,3,2,6,7,5,6,4,8,8,4,1,7,1,8,6,9,5,5,2,9,6,1,7
