id=1, plug=RED STAR, leftSocket=RED SQUARE, rightSocket=WHITE STAR, data=--1-1----3-3--------1
id=2, plug=WHITE CIRCLE, leftSocket=YELLOW TRIANGLE, rightSocket=MAGENTA CIRCLE, data=---------------------
id=3, plug=RED CIRCLE, leftSocket=CYAN STAR, rightSocket=BLUE PENTAGON, data=----1------3------2--
id=4, plug=YELLOW PENTAGON, leftSocket=CYAN STAR, rightSocket=CYAN TRIANGLE, data=---------------------
id=5, plug=CYAN HEXAGON, leftSocket=MAGENTA STAR, rightSocket=RED OCTAGON, data=----1------3---------
id=6, plug=MAGENTA HEXAGON, leftSocket=MAGENTA DIAMOND, rightSocket=CYAN HEXAGON, data=---------------------
id=7, plug=CYAN DIAMOND, leftSocket=BLACK DIAMOND, rightSocket=BLUE STAR, data=---1-1----3-3-------1
id=8, plug=CYAN TRIANGLE, leftSocket=GREEN HEXAGON, rightSocket=MAGENTA TRIANGLE, data=-11111------33333----
id=9, plug=MAGENTA DIAMOND, leftSocket=BLACK PENTAGON, rightSocket=YELLOW CIRCLE, data=----1------3--------1
id=10, plug=MAGENTA CIRCLE, leftSocket=BLUE CIRCLE, rightSocket=GREEN DIAMOND, data=---------------------
id=11, plug=MAGENTA HEXAGON, leftSocket=YELLOW STAR, rightSocket=RED DIAMOND, data=---------------------
id=12, plug=BLUE HEXAGON, leftSocket=YELLOW PENTAGON, rightSocket=BLUE OCTAGON, data=-------1------3------
id=13, plug=BLACK TRIANGLE, leftSocket=MAGENTA TRIANGLE, rightSocket=WHITE PENTAGON, data=--1------3-----------
id=14, plug=RED CIRCLE, leftSocket=BLACK HEXAGON, rightSocket=MAGENTA STAR, data=-------------------3-
id=15, plug=BLACK STAR, leftSocket=MAGENTA OCTAGON, rightSocket=CYAN HEXAGON, data=------1------3-------
id=16, plug=BLUE CIRCLE, leftSocket=GREEN PENTAGON, rightSocket=BLUE DIAMOND, data=----1------3---------
id=17, plug=BLUE DIAMOND, leftSocket=CYAN HEXAGON, rightSocket=CYAN OCTAGON, data=----1------3---------
id=18, plug=YELLOW DIAMOND, leftSocket=MAGENTA PENTAGON, rightSocket=BLUE PENTAGON, data=-----1------3--------
id=19, plug=CYAN HEXAGON, leftSocket=CYAN STAR, rightSocket=BLACK SQUARE, data=-------1------3-----1
id=20, plug=YELLOW HEXAGON, leftSocket=BLUE SQUARE, rightSocket=WHITE TRIANGLE, data=---------------------
id=21, plug=CYAN DIAMOND, leftSocket=MAGENTA PENTAGON, rightSocket=YELLOW DIAMOND, data=------1------3-------
id=22, plug=GREEN PENTAGON, leftSocket=WHITE TRIANGLE, rightSocket=CYAN SQUARE, data=-1-1----3-3-----3---1
id=23, plug=BLACK CIRCLE, leftSocket=MAGENTA STAR, rightSocket=WHITE DIAMOND, data=---------------------
id=24, plug=WHITE DIAMOND, leftSocket=WHITE CIRCLE, rightSocket=RED SQUARE, data=----1------3--------1
id=25, plug=BLUE DIAMOND, leftSocket=BLUE SQUARE, rightSocket=GREEN DIAMOND, data=------1------3-------
id=26, plug=BLUE TRIANGLE, leftSocket=GREEN DIAMOND, rightSocket=BLUE SQUARE, data=---1------3----------
id=27, plug=CYAN TRIANGLE, leftSocket=CYAN SQUARE, rightSocket=BLACK CIRCLE, data=---1------3--------1-
id=28, plug=RED STAR, leftSocket=MAGENTA STAR, rightSocket=BLACK SQUARE, data=-1-1----3-3-----3---1
id=29, plug=CYAN OCTAGON, leftSocket=CYAN STAR, rightSocket=RED OCTAGON, data=-----------------2---
id=30, plug=MAGENTA HEXAGON, leftSocket=MAGENTA TRIANGLE, rightSocket=WHITE CIRCLE, data=-1------3------------
id=31, plug=YELLOW HEXAGON, leftSocket=CYAN DIAMOND, rightSocket=WHITE TRIANGLE, data=-------------------3-
